UMAP 1,UMAP 2,Class
4.855174,7.955351,deterrimus
-4.716412,5.465847,deterrimus
-3.7983885,7.6256075,deterrimus
-4.131903,8.177073,deterrimus
-5.6936197,7.0360804,deterrimus
-5.0677166,7.292042,deterrimus
-3.667609,6.7505183,deterrimus
-4.167663,5.0022435,deterrimus
-5.679521,5.144094,deterrimus
-4.1248684,4.71884,deterrimus
-2.8532333,9.212192,deterrimus
-0.033110328,10.373296,deterrimus
-5.09627,5.6049485,deterrimus
-6.0725994,6.62237,deterrimus
-4.749062,6.4928255,deterrimus
-6.0966887,7.088575,deterrimus
-1.4294382,8.233508,deterrimus
-6.305219,5.5409956,deterrimus
-2.0491188,8.708831,deterrimus
-0.18673581,8.93477,deterrimus
-5.5493703,5.946859,deterrimus
-4.860804,6.858073,deterrimus
0.19449598,8.774239,deterrimus
-4.222495,5.8901725,deterrimus
-4.098765,5.7190385,deterrimus
-6.0087233,5.632803,deterrimus
-3.9606476,8.080866,deterrimus
-3.9709804,8.819199,deterrimus
-0.05518626,10.380468,deterrimus
-5.8105307,5.187905,deterrimus
-1.7227772,8.3495245,deterrimus
-3.8704257,8.915634,deterrimus
-5.626199,7.211169,deterrimus
-4.2634163,7.005526,deterrimus
-3.2321582,8.080649,deterrimus
-3.9908779,8.643497,deterrimus
-4.795963,7.788917,deterrimus
-3.862624,5.277624,deterrimus
-1.90616,8.141464,deterrimus
-5.694971,5.153646,deterrimus
3.9155295,8.332276,deterrimus
0.22186816,9.494997,deterrimus
-1.2188178,8.766145,deterrimus
-4.8638477,6.510633,deterrimus
-5.197164,5.7149754,deterrimus
4.150787,7.8578124,deterrimus
-1.7095037,7.8025327,deterrimus
-5.77014,5.151566,deterrimus
-5.0334973,6.266401,deterrimus
-5.125691,5.866082,deterrimus
-1.4772735,8.467843,deterrimus
4.4670706,8.687337,deterrimus
-0.01215285,10.424023,deterrimus
